1,1
A,4
wise,4
son,2
hears,2
his,10
father's,1
instruction,2
but,22
a,9
scoffer,1
does,1
not,1
listen,1
to,11
rebuke,1
2,1
From,1
the,28
fruit,1
of,15
his,10
mouth,2
a,9
man,4
eats,1
what,1
is,15
good,3
but,22
the,28
desire,3
of,15
the,28
treacherous,2
is,15
for,2
violence,1
3,1
Whoever,4
guards,2
his,10
mouth,2
preserves,1
his,10
life,4
he,3
who,5
opens,1
wide,1
his,10
lips,1
comes,2
to,11
ruin,2
4,1
The,7
soul,3
of,15
the,28
sluggard,1
craves,1
and,3
gets,1
nothing,3
while,1
the,28
soul,3
of,15
the,28
diligent,2
is,15
richly,1
supplied,1
5,1
The,7
righteous,5
hates,2
falsehood,1
but,22
the,28
wicked,5
brings,3
shame[a],1
and,3
disgrace,2
6,1
Righteousness,1
guards,2
him,4
whose,1
way,2
is,15
blameless,1
but,22
sin,1
overthrows,1
the,28
wicked,5
7,1
One,1
pretends,2
to,11
be,4
rich,1
yet,2
has,3
nothing,3
another,1
pretends,2
to,11
be,4
poor,3
yet,2
has,3
great,1
wealth,3
8,1
The,7
ransom,1
of,15
a,9
man's,1
life,4
is,15
his,10
wealth,3
but,22
a,9
poor,3
man,4
hears,2
no,1
threat,1
9,1
The,7
light,1
of,15
the,28
righteous,5
rejoices,1
but,22
the,28
lamp,1
of,15
the,28
wicked,5
will,5
be,4
put,1
out,1
10,1
By,1
insolence,1
comes,2
nothing,3
but,22
strife,1
but,22
with,4
those,1
who,5
take,1
advice,1
is,15
wisdom,1
11,1
Wealth,1
gained,1
hastily[d],1
will,5
dwindle,1
but,22
whoever,2
gathers,1
little,2
by,1
little,2
will,5
increase,1
it,2
12,1
Hope,1
deferred,1
makes,1
the,28
heart,1
sick,1
but,22
a,9
desire,3
fulfilled,2
is,15
a,9
tree,1
of,15
life,4
13,1
Whoever,4
despises,1
the,28
word[e],1
brings,3
destruction,1
on,1
himself,1
but,22
he,3
who,5
reveres,1
the,28
commandment[f],1
will,5
be,4
rewarded,2
14,1
The,7
teaching,1
of,15
the,28
wise,4
is,15
a,9
fountain,1
of,15
life,4
that,1
one,1
may,1
turn,2
away,3
from,2
the,28
snares,1
of,15
death,1
15,1
Good,1
sense,1
wins,1
favor,1
but,22
the,28
way,2
of,15
the,28
treacherous,2
is,15
their,1
ruin,2
16,1
Every,1
prudent,1
man,4
acts,1
with,4
knowledge,1
but,22
a,9
fool,1
flaunts,1
his,10
folly,1
17,1
A,4
wicked,5
messenger,1
falls,1
into,1
trouble,1
but,22
a,9
faithful,1
envoy,1
brings,3
healing,1
18,1
Poverty,1
and,3
disgrace,2
come,1
to,11
him,4
who,5
ignores,1
instruction,2
but,22
whoever,2
heeds,1
reproof,1
is,15
honored,1
19,1
A,4
desire,3
fulfilled,2
is,15
sweet,1
to,11
the,28
soul,3
but,22
to,11
turn,2
away,3
from,2
evil,1
is,15
an,2
abomination,1
to,11
fools,2
20,1
Whoever,4
walks,1
with,4
the,28
wise,4
becomes,1
wise,4
but,22
the,28
companion,1
of,15
fools,2
will,5
suffer,1
harm,1
21,1
Disaster[h],1
pursues,1
sinners,1
but,22
the,28
righteous,5
are,1
rewarded,2
with,4
good,3
22,1
A,4
good,3
man,4
leaves,1
an,2
inheritance,1
to,11
his,10
children's,1
children,1
but,22
the,28
sinner's,1
wealth,3
is,15
laid,1
up,1
for,2
the,28
righteous,5
23,1
The,7
fallow,1
ground,1
of,15
the,28
poor,3
would,1
yield,1
much,1
food,1
but,22
it,2
is,15
swept,1
away,3
through,1
injustice,1
24,1
Whoever,4
spares,1
the,28
rod,1
hates,2
his,10
son,2
but,22
he,3
who,5
loves,1
him,4
is,15
diligent,2
to,11
discipline,1
him,4
25,1
The,7
righteous,5
has,3
enough,1
to,11
satisfy,1
his,10
appetite,1
but,22
the,28
belly,1
of,15
the,28
wicked,5
suffers,1
want,1
